cluster_key,rows,membership,general_path,general_root,generation_family,lex_flags,examples
OVERLAP|CLOTHING_STATE_EXPOSURE|POSE_COMPOSITION|EXPOSURE_INTIMATE,1,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,POSE_COMPOSITION,EXPOSURE_INTIMATE,upskirt
OVERLAP|CLOTHING_STATE_EXPOSURE|POSE_COMPOSITION|NONE,1,OVERLAP,CLOTHING_STATE_EXPOSURE,CLOTHING_STATE_EXPOSURE,POSE_COMPOSITION,NONE,pantyshot
OVERLAP|CLOTHING|(none)|EXPLICIT_SEX,1,OVERLAP,CLOTHING/ACCESSORY,CLOTHING,(none),EXPLICIT_SEX,nursing_fingering
OVERLAP|CLOTHING|(none)|EXPLICIT_SEX+EXPOSURE_INTIMATE,1,OVERLAP,CLOTHING/EVERYDAY,CLOTHING,(none),EXPLICIT_SEX+EXPOSURE_INTIMATE,fuck-me_pasties
OVERLAP|CLOTHING|CLOTHING_EXPOSURE|ANATOMY,1,OVERLAP,CLOTHING/ACCESSORY,CLOTHING,CLOTHING_EXPOSURE,ANATOMY,crotch_seam
OVERLAP|CLOTHING|CLOTHING_EXPOSURE|EXPOSURE_INTIMATE+SEXUALIZED_CLOTHING,1,OVERLAP,CLOTHING/EVERYDAY,CLOTHING,CLOTHING_EXPOSURE,EXPOSURE_INTIMATE+SEXUALIZED_CLOTHING,highleg_panties
OVERLAP|CLOTHING|IMPLEMENT_OBJECT|NONE,1,OVERLAP,CLOTHING/ACCESSORY,CLOTHING,IMPLEMENT_OBJECT,NONE,cock_ring
OVERLAP|CLOTHING|POSE_COMPOSITION|EXPOSURE_INTIMATE,1,OVERLAP,CLOTHING/EVERYDAY,CLOTHING,POSE_COMPOSITION,EXPOSURE_INTIMATE,downblouse
OVERLAP|CLOTHING|RESTRAINT_IMPLEMENT|ANATOMY,1,OVERLAP,CLOTHING/ACCESSORY,CLOTHING,RESTRAINT_IMPLEMENT,ANATOMY,nipple_chain
OVERLAP|CLOTHING|RESTRAINT_IMPLEMENT|ANATOMY+RESTRAINT_FETISH,1,OVERLAP,CLOTHING/ACCESSORY,CLOTHING,RESTRAINT_IMPLEMENT,ANATOMY+RESTRAINT_FETISH,crotch_rope
OVERLAP|CLOTHING|RESTRAINT_IMPLEMENT|EXPOSURE_INTIMATE+RESTRAINT_FETISH,1,OVERLAP,CLOTHING/EVERYDAY,CLOTHING,RESTRAINT_IMPLEMENT,EXPOSURE_INTIMATE+RESTRAINT_FETISH,panty_gag
OVERLAP|CLOTHING|RESTRAINT_IMPLEMENT|RESTRAINT_FETISH+SEXUALIZED_CLOTHING,1,OVERLAP,CLOTHING/ACCESSORY,CLOTHING,RESTRAINT_IMPLEMENT,RESTRAINT_FETISH+SEXUALIZED_CLOTHING,gag_harness
OVERLAP|CLOTHING|SELF_ACTION|NONE,1,OVERLAP,CLOTHING/ACCESSORY,CLOTHING,SELF_ACTION,NONE,table_humping
OVERLAP|COLOR_APPEARANCE|(none)|NONE,1,OVERLAP,COLOR_APPEARANCE,COLOR_APPEARANCE,(none),NONE,ornate_chastity_cage
OVERLAP|COLOR_APPEARANCE|CLOTHING_EXPOSURE|NONE,1,OVERLAP,COLOR_APPEARANCE,COLOR_APPEARANCE,CLOTHING_EXPOSURE,NONE,lace
OVERLAP|COLOR_APPEARANCE|CLOTHING_EXPOSURE|SEXUALIZED_CLOTHING,1,OVERLAP,COLOR_APPEARANCE,COLOR_APPEARANCE,CLOTHING_EXPOSURE,SEXUALIZED_CLOTHING,latex
OVERLAP|COLOR_APPEARANCE|IMPLEMENT_OBJECT|ANATOMY,1,OVERLAP,COLOR_APPEARANCE,COLOR_APPEARANCE,IMPLEMENT_OBJECT,ANATOMY,mismatched_nipple_piercing
OVERLAP|COLOR_APPEARANCE|POSE_COMPOSITION|NONE,1,OVERLAP,COLOR_APPEARANCE,COLOR_APPEARANCE,POSE_COMPOSITION,NONE,folded
OVERLAP|COMPOSITION_CAMERA|(none)|ANATOMY,1,OVERLAP,COMPOSITION_CAMERA,COMPOSITION_CAMERA,(none),ANATOMY,pussy_out_of_frame
OVERLAP|COMPOSITION_CAMERA|CAMERA_INTERNAL_VIEW|NONE,1,OVERLAP,COMPOSITION_CAMERA,COMPOSITION_CAMERA,CAMERA_INTERNAL_VIEW,NONE,cross-section
