identity_key,state
detached_legs,LOW_RISK_BODY_CANDIDATE_V19_1
detached_tail,LOW_RISK_BODY_CANDIDATE_V19_1
detached_wings,LOW_RISK_BODY_CANDIDATE_V19_1
devil_trigger,LOW_RISK_BODY_CANDIDATE_V19_1
dewlap,LOW_RISK_BODY_CANDIDATE_V19_1
diamond_hands,LOW_RISK_BODY_CANDIDATE_V19_1
diarrhea,LOW_RISK_BODY_CANDIDATE_V19_1
digitigrade,LOW_RISK_BODY_CANDIDATE_V19_1
dilated_pupils,LOW_RISK_BODY_CANDIDATE_V19_1
dimple_piercing,LOW_RISK_BODY_CANDIDATE_V19_1
dimples_of_venus,LOW_RISK_BODY_CANDIDATE_V19_1
dinosaur_tail,LOW_RISK_BODY_CANDIDATE_V19_1
dirty,LOW_RISK_BODY_CANDIDATE_V19_1
dirty_arm,LOW_RISK_BODY_CANDIDATE_V19_1
dirty_face,LOW_RISK_BODY_CANDIDATE_V19_1
dirty_hands,LOW_RISK_BODY_CANDIDATE_V19_1
disembodied_arm,LOW_RISK_BODY_CANDIDATE_V19_1
disembodied_eye,LOW_RISK_BODY_CANDIDATE_V19_1
disembodied_hand,LOW_RISK_BODY_CANDIDATE_V19_1
disembodied_head,LOW_RISK_BODY_CANDIDATE_V19_1
disembodied_linked_eye,LOW_RISK_BODY_CANDIDATE_V19_1
disembodied_torso,LOW_RISK_BODY_CANDIDATE_V19_1
disfigured,LOW_RISK_BODY_CANDIDATE_V19_1
divine_markings,LOW_RISK_BODY_CANDIDATE_V19_1
dna,LOW_RISK_BODY_CANDIDATE_V19_1
dock_(tail),LOW_RISK_BODY_CANDIDATE_V19_1
dog_ears,LOW_RISK_BODY_CANDIDATE_V19_1
dog_head,LOW_RISK_BODY_CANDIDATE_V19_1
dog_paws,LOW_RISK_BODY_CANDIDATE_V19_1
dog_tail,LOW_RISK_BODY_CANDIDATE_V19_1
donkey_ears,LOW_RISK_BODY_CANDIDATE_V19_1
donkey_tail,LOW_RISK_BODY_CANDIDATE_V19_1
doom_wings,LOW_RISK_BODY_CANDIDATE_V19_1
dorsal_fin,LOW_RISK_BODY_CANDIDATE_V19_1
dorsiflexion,LOW_RISK_BODY_CANDIDATE_V19_1
dorsiflexion_(wrist),LOW_RISK_BODY_CANDIDATE_V19_1
double_chin,LOW_RISK_BODY_CANDIDATE_V19_1
dragon_claw,LOW_RISK_BODY_CANDIDATE_V19_1
dragon_ears,LOW_RISK_BODY_CANDIDATE_V19_1
dragon_horns,LOW_RISK_BODY_CANDIDATE_V19_1
dragon_skull,LOW_RISK_BODY_CANDIDATE_V19_1
dragon_tail,LOW_RISK_BODY_CANDIDATE_V19_1
dragon_tattoo,LOW_RISK_BODY_CANDIDATE_V19_1
dragon_wings,LOW_RISK_BODY_CANDIDATE_V19_1
dragonfly_wings,LOW_RISK_BODY_CANDIDATE_V19_1
drill_hand,LOW_RISK_BODY_CANDIDATE_V19_1
drill_horn,LOW_RISK_BODY_CANDIDATE_V19_1
dripping,LOW_RISK_BODY_CANDIDATE_V19_1
dripping_eye,LOW_RISK_BODY_CANDIDATE_V19_1
drying_body,LOW_RISK_BODY_CANDIDATE_V19_1
dying,LOW_RISK_BODY_CANDIDATE_V19_1
dynamax,LOW_RISK_BODY_CANDIDATE_V19_1
ear_birthmark,LOW_RISK_BODY_CANDIDATE_V19_1
ear_blush,LOW_RISK_BODY_CANDIDATE_V19_1
ear_piercing,LOW_RISK_BODY_CANDIDATE_V19_1
ear_tufts,LOW_RISK_BODY_CANDIDATE_V19_1
ear_wings,LOW_RISK_BODY_CANDIDATE_V19_1
ears_back,LOW_RISK_BODY_CANDIDATE_V19_1
