identity_key,candidate_state,risk_flags
finger_to_own_nose,RESIDUAL_UNCLASSIFIED,relation_or_body_token
finger_twirl,RESIDUAL_UNCLASSIFIED,relation_or_body_token
finger_wagging,RESIDUAL_UNCLASSIFIED,relation_or_body_token
finger_wrap,RESIDUAL_UNCLASSIFIED,relation_or_body_token
finger_writing,RESIDUAL_UNCLASSIFIED,relation_or_body_token
fingers_on_another's_face,RESIDUAL_UNCLASSIFIED,relation_or_body_token
fingers_to_cheek,RESIDUAL_UNCLASSIFIED,relation_or_body_token
fingers_to_cheeks,RESIDUAL_UNCLASSIFIED,relation_or_body_token
firing_at_viewer,RESIDUAL_UNCLASSIFIED,relation_or_body_token
fish_in_mouth,RESIDUAL_UNCLASSIFIED,relation_or_body_token
fish_on_head,RESIDUAL_UNCLASSIFIED,relation_or_body_token
fist_bumping_viewer,RESIDUAL_UNCLASSIFIED,relation_or_body_token
fist_in_hand,RESIDUAL_UNCLASSIFIED,relation_or_body_token
food_bite,RESIDUAL_UNCLASSIFIED,intimate_or_boundary_token
foot_against_wall,RESIDUAL_UNCLASSIFIED,relation_or_body_token
foot_on_another's_ass,RESIDUAL_UNCLASSIFIED,relation_or_body_token
foot_on_another's_face,RESIDUAL_UNCLASSIFIED,relation_or_body_token
foot_on_table,RESIDUAL_UNCLASSIFIED,relation_or_body_token
foot_on_weapon,RESIDUAL_UNCLASSIFIED,relation_or_body_token
furoshiki_around_neck,RESIDUAL_UNCLASSIFIED,relation_or_body_token
grabbing_another's_arm,RESIDUAL_UNCLASSIFIED,relation_or_body_token
grabbing_another's_chin,RESIDUAL_UNCLASSIFIED,relation_or_body_token
grabbing_another's_dress,RESIDUAL_UNCLASSIFIED,relation_or_body_token
grabbing_another's_face,RESIDUAL_UNCLASSIFIED,relation_or_body_token
grabbing_another's_hair,RESIDUAL_UNCLASSIFIED,relation_or_body_token
grabbing_another's_hand,RESIDUAL_UNCLASSIFIED,relation_or_body_token
