identity_key,candidate_state,reason
chugging,ORDINARY_CLEAN,no_body_contact_risk
cicada_block_(meme),ORDINARY_CLEAN,no_body_contact_risk
clapping,ORDINARY_CLEAN,no_body_contact_risk
clash,ORDINARY_CLEAN,no_body_contact_risk
climbing,ORDINARY_CLEAN,no_body_contact_risk
climbing_ladder,ORDINARY_CLEAN,no_body_contact_risk
climbing_set_(zelda),ORDINARY_CLEAN,no_body_contact_risk
climbing_tree,ORDINARY_CLEAN,no_body_contact_risk
climbing_wall,ORDINARY_CLEAN,no_body_contact_risk
clinging,ORDINARY_CLEAN,no_body_contact_risk
clipping_another's_nails,ORDINARY_CLEAN,no_body_contact_risk
clipping_fingernails,ORDINARY_CLEAN,no_body_contact_risk
clipping_toenails,ORDINARY_CLEAN,no_body_contact_risk
close-quarters_combat,ORDINARY_CLEAN,no_body_contact_risk
clothes_blanket,ORDINARY_CLEAN,no_body_contact_risk
clothes_in_mouth,ORDINARY_CLEAN,no_body_contact_risk
clothes_theft,ORDINARY_CLEAN,no_body_contact_risk
clutching_chest,ORDINARY_CLEAN,no_body_contact_risk
clutching_clothes,ORDINARY_CLEAN,no_body_contact_risk
clutching_head,ORDINARY_CLEAN,no_body_contact_risk
coat_grab,ORDINARY_CLEAN,no_body_contact_risk
coat_hold,ORDINARY_CLEAN,no_body_contact_risk
coin_flip,ORDINARY_CLEAN,no_body_contact_risk
collateral_damage,ORDINARY_CLEAN,no_body_contact_risk
collision,ORDINARY_CLEAN,no_body_contact_risk
come_hither,ORDINARY_CLEAN,no_body_contact_risk
comforting,ORDINARY_CLEAN,no_body_contact_risk
competition,ORDINARY_CLEAN,no_body_contact_risk
confession,ORDINARY_CLEAN,no_body_contact_risk
confrontation,ORDINARY_CLEAN,no_body_contact_risk
constriction,ORDINARY_CLEAN,no_body_contact_risk
construction,ORDINARY_CLEAN,no_body_contact_risk
convention_greeting,ORDINARY_CLEAN,no_body_contact_risk
cooking,ORDINARY_CLEAN,no_body_contact_risk
cooking_together,ORDINARY_CLEAN,no_body_contact_risk
cord_pull,ORDINARY_CLEAN,no_body_contact_risk
coronation,ORDINARY_CLEAN,no_body_contact_risk
counting,ORDINARY_CLEAN,no_body_contact_risk
counting_sheep,ORDINARY_CLEAN,no_body_contact_risk
country_connection,ORDINARY_CLEAN,no_body_contact_risk
cover_them_up_slut_(meme),ORDINARY_CLEAN,no_body_contact_risk
cpr,ORDINARY_CLEAN,no_body_contact_risk
crab_on_head,ORDINARY_CLEAN,no_body_contact_risk
crab_on_shoulder,ORDINARY_CLEAN,no_body_contact_risk
cracking_egg,ORDINARY_CLEAN,no_body_contact_risk
cracking_ground,ORDINARY_CLEAN,no_body_contact_risk
cracking_knuckles,ORDINARY_CLEAN,no_body_contact_risk
cradling,ORDINARY_CLEAN,no_body_contact_risk
cradling_head,ORDINARY_CLEAN,no_body_contact_risk
cradling_phone,ORDINARY_CLEAN,no_body_contact_risk
crafting,ORDINARY_CLEAN,no_body_contact_risk
crash,ORDINARY_CLEAN,no_body_contact_risk
cream_on_body,ORDINARY_CLEAN,no_body_contact_risk
cream_on_face,ORDINARY_CLEAN,no_body_contact_risk
cream_on_hands,ORDINARY_CLEAN,no_body_contact_risk
creator_and_creation,ORDINARY_CLEAN,no_body_contact_risk
creator_connection,ORDINARY_CLEAN,no_body_contact_risk
creature_on_arm,ORDINARY_CLEAN,no_body_contact_risk
creature_on_hand,ORDINARY_CLEAN,no_body_contact_risk
creature_on_head,ORDINARY_CLEAN,no_body_contact_risk
creature_on_lap,ORDINARY_CLEAN,no_body_contact_risk
creature_on_shoulder,ORDINARY_CLEAN,no_body_contact_risk
crime_prevention_buzzer_threat,ORDINARY_CLEAN,no_body_contact_risk
crosscounter,ORDINARY_CLEAN,no_body_contact_risk
crucifixion,ORDINARY_CLEAN,no_body_contact_risk
crushing,ORDINARY_CLEAN,no_body_contact_risk
crushing_food,ORDINARY_CLEAN,no_body_contact_risk
cryokinesis,ORDINARY_CLEAN,no_body_contact_risk
cupping_ears,ORDINARY_CLEAN,no_body_contact_risk
cupping_glass,ORDINARY_CLEAN,no_body_contact_risk
cupping_hand,ORDINARY_CLEAN,no_body_contact_risk
cupping_hands,ORDINARY_CLEAN,no_body_contact_risk
curtain_grab,ORDINARY_CLEAN,no_body_contact_risk
cutting,ORDINARY_CLEAN,no_body_contact_risk
cutting_another's_hair,ORDINARY_CLEAN,no_body_contact_risk
cutting_clothes,ORDINARY_CLEAN,no_body_contact_risk
cutting_hair,ORDINARY_CLEAN,no_body_contact_risk
cutting_onions,ORDINARY_CLEAN,no_body_contact_risk
cutting_own_hair,ORDINARY_CLEAN,no_body_contact_risk
decorating,ORDINARY_CLEAN,no_body_contact_risk
decorating_baked_goods,ORDINARY_CLEAN,no_body_contact_risk
decorating_christmas_tree,ORDINARY_CLEAN,no_body_contact_risk
defeat,ORDINARY_CLEAN,no_body_contact_risk
defecating_self,ORDINARY_CLEAN,no_body_contact_risk
defenestration,ORDINARY_CLEAN,no_body_contact_risk
deflect,ORDINARY_CLEAN,no_body_contact_risk
delivery,ORDINARY_CLEAN,no_body_contact_risk
desk_slam,ORDINARY_CLEAN,no_body_contact_risk
destruction,ORDINARY_CLEAN,no_body_contact_risk
diaper_changing,ORDINARY_CLEAN,no_body_contact_risk
digging,ORDINARY_CLEAN,no_body_contact_risk
digging_your_own_grave,ORDINARY_CLEAN,no_body_contact_risk
digimon_on_head,ORDINARY_CLEAN,no_body_contact_risk
disassembly,ORDINARY_CLEAN,no_body_contact_risk
dishwashing,ORDINARY_CLEAN,no_body_contact_risk
dive,ORDINARY_CLEAN,no_body_contact_risk
diving,ORDINARY_CLEAN,no_body_contact_risk
diving_block,ORDINARY_CLEAN,no_body_contact_risk
diving_board,ORDINARY_CLEAN,no_body_contact_risk
diving_regulator,ORDINARY_CLEAN,no_body_contact_risk
dodgeball_(sport),ORDINARY_CLEAN,no_body_contact_risk
dog_on_head,ORDINARY_CLEAN,no_body_contact_risk
dog_on_lap,ORDINARY_CLEAN,no_body_contact_risk
dog_shadow_puppet,ORDINARY_CLEAN,no_body_contact_risk
dogfight,ORDINARY_CLEAN,no_body_contact_risk
dogpile,ORDINARY_CLEAN,no_body_contact_risk
doll_on_head,ORDINARY_CLEAN,no_body_contact_risk
doll_on_shoulder,ORDINARY_CLEAN,no_body_contact_risk
domestic_violence,ORDINARY_CLEAN,no_body_contact_risk
double_facepalm,ORDINARY_CLEAN,no_body_contact_risk
double_finger_gun,ORDINARY_CLEAN,no_body_contact_risk
double_finger_heart,ORDINARY_CLEAN,no_body_contact_risk
double_fox_shadow_puppet,ORDINARY_CLEAN,no_body_contact_risk
double_middle_finger,ORDINARY_CLEAN,no_body_contact_risk
double_ok_sign,ORDINARY_CLEAN,no_body_contact_risk
double_shaka_sign,ORDINARY_CLEAN,no_body_contact_risk
double_thumbs_down,ORDINARY_CLEAN,no_body_contact_risk
double_thumbs_up,ORDINARY_CLEAN,no_body_contact_risk
dragon_dance,ORDINARY_CLEAN,no_body_contact_risk
dragon_fist_(dragon_ball),ORDINARY_CLEAN,no_body_contact_risk
dragon_on_head,ORDINARY_CLEAN,no_body_contact_risk
dragon_on_shoulder,ORDINARY_CLEAN,no_body_contact_risk
drawing_(action),ORDINARY_CLEAN,no_body_contact_risk
drawing_gun,ORDINARY_CLEAN,no_body_contact_risk
drawing_on_air,ORDINARY_CLEAN,no_body_contact_risk
drawing_on_another,ORDINARY_CLEAN,no_body_contact_risk
drawing_on_another's_face,ORDINARY_CLEAN,no_body_contact_risk
drawing_on_dirt,ORDINARY_CLEAN,no_body_contact_risk
drawing_on_fourth_wall,ORDINARY_CLEAN,no_body_contact_risk
drawing_on_own_face,ORDINARY_CLEAN,no_body_contact_risk
drawing_on_sand,ORDINARY_CLEAN,no_body_contact_risk
drawing_on_self,ORDINARY_CLEAN,no_body_contact_risk
drawing_on_snow,ORDINARY_CLEAN,no_body_contact_risk
drawing_sword,ORDINARY_CLEAN,no_body_contact_risk
dribbling_(basketball),ORDINARY_CLEAN,no_body_contact_risk
drinking,ORDINARY_CLEAN,no_body_contact_risk
drinking_straw_in_mouth,ORDINARY_CLEAN,no_body_contact_risk
